modzcta,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020
10069,NA,NA,NA,0,0,NA,0,NA,0,0
10075,52.1,108.5,52.1,NA,NA,NA,0,NA,0,NA
10128,NA,63.2,20.5,NA,0,NA,NA,NA,0,NA
10280,0,NA,NA,NA,NA,NA,NA,NA,NA,0
10282,0,161.5,NA,NA,0,NA,NA,NA,NA,0
10301,25.7,254.5,51.4,NA,0,NA,0,NA,NA,30.8
10302,27,146.1,27,0,0,0,0,0,NA,37.9
10303,NA,120.7,45.3,NA,NA,0,0,NA,NA,18.9
10304,54.9,310.4,71.6,16.7,NA,NA,0,0,NA,47.7
10305,NA,142.3,42,11.7,NA,0,0,0,NA,18.7
10306,30.3,128.8,18.9,9.5,NA,NA,0,NA,37.9,87.1
10307,NA,73.8,NA,NA,0,NA,0,0,0,NA
10308,NA,80.5,NA,NA,0,0,0,NA,NA,33.5
10309,24.3,82,15.2,NA,0,NA,0,NA,NA,27.3
10310,34.1,115.2,34.1,NA,0,NA,NA,NA,NA,NA
10312,27.8,73.7,18,NA,0,0,0,NA,8.2,9.8
10314,24.9,163.2,54,15.1,NA,0,NA,NA,6.5,44.3
10451,38,280.8,40.1,10.6,NA,NA,0,NA,NA,NA
10452,23.9,227.4,29.3,12,NA,6.6,0,0,NA,9.3
10453,38.1,188.1,38.1,6.4,NA,0,NA,NA,NA,10.2
10454,29.1,264.3,34.4,13.2,NA,0,NA,0,NA,15.9
10455,16.7,241.1,43,11.9,NA,NA,0,0,NA,NA
10456,36.5,283.3,47.2,11.8,NA,NA,NA,NA,NA,7.5
10457,36.6,200.8,38,12.2,NA,NA,0,0,8.1,NA
10458,13.3,126.9,37.5,NA,NA,0,NA,NA,NA,12.1
10459,35.5,313.3,33.4,14.6,0,NA,NA,0,NA,NA
10460,25.5,202.1,25.5,8.5,NA,0,NA,0,NA,11.9
10461,34.6,205.7,61.1,12.2,NA,NA,NA,0,0,16.3
10462,37.2,185.9,45.1,8,NA,0,NA,NA,NA,13.3
10463,42.9,295.8,64.3,18.6,7.1,NA,NA,NA,NA,24.3
10464,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10465,20.9,208.7,20.9,13.9,NA,NA,NA,NA,NA,NA
10466,49.1,180.9,32.3,NA,NA,NA,NA,NA,NA,NA
10467,53.9,265.5,53.9,6.9,9.8,4.9,NA,0,NA,8.8
10468,30.8,199.2,65.5,16.7,NA,NA,NA,0,NA,12.9
10469,79.9,399.4,64.7,12.4,9.6,NA,NA,NA,NA,16.5
10470,NA,120.1,NA,NA,NA,NA,0,NA,0,NA
10471,37.7,324.8,75.3,28.2,NA,NA,NA,0,NA,NA
10472,41.2,214.8,53,10.3,0,NA,NA,NA,NA,13.2
10473,37.2,192.9,35.5,13.5,NA,NA,NA,NA,NA,16.9
10474,NA,133.6,50.1,NA,0,0,NA,0,0,0
10475,84.2,318.2,65.5,11.7,NA,0,NA,NA,NA,11.7
11004,26.4,337.7,73.9,NA,NA,0,NA,0,0,26.4
11101,24.4,119.4,13.6,0,NA,NA,0,0,NA,NA
11102,49.9,223,56.6,NA,NA,NA,0,NA,0,26.6
11103,20,148.8,31.5,NA,NA,NA,NA,NA,NA,NA
11104,43.2,133.7,39.3,NA,0,0,0,0,NA,NA
11105,13.8,99.5,44.2,NA,NA,NA,NA,0,NA,NA
11106,16,152.3,32.1,NA,NA,NA,0,NA,NA,NA
11109,0,NA,NA,0,0,0,NA,NA,NA,0
11201,19.3,142.9,40.1,9.6,NA,NA,0,NA,NA,NA
11203,68.2,275.5,46.4,8.2,NA,0,0,NA,NA,13.6
11204,29.8,145.3,28.5,10.4,NA,NA,0,7.8,NA,15.6
11205,NA,110.3,13.2,NA,NA,0,0,0,0,11
11206,24.2,159.2,26.5,NA,NA,NA,NA,NA,NA,6.9
11207,35.9,233.6,35.9,7.9,NA,NA,NA,0,5.6,11.2
11208,28.3,234.4,41.9,10.5,NA,NA,NA,NA,6.3,19.9
11209,20.7,130.3,37,NA,NA,NA,0,NA,0,13.3
11210,38.1,214.7,33.5,10.7,NA,0,0,NA,NA,7.6
11211,25.6,116.1,12.8,4.9,NA,0,NA,NA,4.9,5.9
11212,64.9,293.4,41.9,13.5,NA,NA,0,NA,NA,18.9
11213,32.5,244.6,38.7,9.3,NA,NA,NA,NA,NA,9.3
11214,10.8,191.8,46.3,6.5,NA,NA,NA,NA,14,23.7
11215,8.6,61.8,11.5,NA,0,NA,NA,NA,NA,7.2
11216,21.9,127.7,42,9.1,NA,NA,0,0,NA,12.8
11217,26.9,195.7,39.1,NA,NA,0,NA,NA,NA,NA
11218,29.7,179.7,36.5,NA,NA,0,NA,NA,NA,9.5
11219,25.5,186.5,26.6,6.7,NA,NA,5.6,NA,8.9,NA
11220,16.9,153.3,23.3,8.5,NA,NA,NA,NA,NA,14.8
11221,14.7,173.1,40.5,7.4,NA,NA,0,NA,NA,11.1
11222,NA,80.3,22.1,NA,0,NA,0,NA,0,NA
11223,20.9,139.9,47.9,NA,NA,0,0,0,8.6,16
11224,23.8,479.8,99.4,17.3,NA,NA,NA,NA,NA,30.3
11225,48.7,210.4,38.3,8.7,NA,0,NA,NA,NA,NA
11226,58.5,279.4,41.1,10.3,NA,NA,NA,NA,NA,14.4
11228,24.5,184.5,26.7,13.3,NA,0,NA,NA,NA,NA
11229,29.9,155.6,35.9,14.4,NA,NA,NA,6,NA,14.4
11230,34.9,265.5,38.2,NA,7.9,NA,NA,7.9,10.1,16.9
11231,18.7,93.6,13.4,NA,NA,0,0,0,NA,NA
11232,NA,110.8,44.3,NA,0,0,0,NA,0,NA
11233,39,187,33.6,10.8,NA,NA,NA,NA,8.1,17.5
11234,37.2,172.2,29.8,6.4,NA,0,NA,NA,NA,10.6
11235,34.5,319.7,76.7,11.5,6.4,NA,NA,NA,12.8,21.7
11236,56.6,264.6,39.1,10.3,NA,NA,NA,5.1,NA,10.3
11237,35.4,195.8,37.5,NA,0,NA,0,0,0,NA
11238,14.9,181.1,39.2,NA,0,NA,0,0,NA,NA
11239,84.5,606.7,92.1,53.8,NA,0,0,NA,46.1,NA
11354,40.8,424.7,109.4,29.7,9.3,NA,NA,NA,11.1,22.3
11355,17.8,191.5,38,NA,6.3,NA,NA,NA,NA,16.5
11356,NA,162.2,26.3,0,0,0,0,0,0,NA
11357,NA,222.1,49.1,20.7,NA,NA,0,0,NA,NA
11358,19.4,99.9,16.7,NA,NA,0,0,0,NA,NA
11360,NA,131.3,31.5,NA,NA,NA,0,0,0,NA
11361,NA,197.2,45.5,NA,NA,NA,NA,NA,0,NA
11362,NA,165.7,27.6,27.6,NA,NA,0,0,0,NA
11363,0,89.1,NA,NA,0,NA,NA,NA,0,0
11364,NA,106.5,NA,NA,NA,0,0,0,0,NA
11365,27.4,136.9,27.4,NA,0,0,0,NA,0,13.7
11366,42.2,168.9,NA,0,0,NA,NA,NA,0,NA
11367,19.7,137.7,29.5,NA,0,0,0,0,NA,NA
11368,68.9,315.3,51.6,6.3,NA,0,NA,NA,NA,12.7
11369,83.3,469.9,80.3,14.9,NA,NA,0,0,NA,NA
11370,28.3,204.5,NA,18.9,0,0,0,0,NA,NA
11372,82.4,313.1,70.9,9.9,NA,8.2,NA,NA,8.2,19.8
11373,44.7,267.3,42.6,9.8,NA,NA,0,NA,NA,9.8
11374,24.2,164.3,36.2,16.9,NA,0,NA,NA,NA,24.2
11375,25.3,206.3,37.9,NA,NA,0,NA,0,7,18.2
11377,45.2,199.9,32.1,13.1,NA,0,NA,0,NA,14.3
11378,24.9,174.3,22.1,NA,NA,0,0,0,NA,NA
11379,30,234.7,40.9,21.8,NA,NA,NA,NA,13.6,NA
11385,24.1,109.1,23.2,5.8,NA,NA,0,NA,NA,4.8
11411,28.1,201.1,28.1,NA,0,NA,NA,NA,0,NA
11412,28.9,186.4,28.9,NA,0,0,0,NA,NA,NA
11413,39.3,185.2,37,NA,0,0,0,NA,0,NA
11414,49.4,186.9,31.7,NA,NA,0,0,0,0,21.2
11415,26.5,249,53,31.8,NA,NA,0,0,0,NA
11416,26.5,174.3,22.7,NA,NA,0,NA,NA,NA,18.9
11417,22.6,125.6,16.1,NA,0,NA,0,NA,NA,NA
11418,34.6,191.6,39.9,NA,0,NA,0,0,0,16
11419,28.9,173.2,39.2,NA,NA,0,NA,0,NA,12.4
11420,29.3,169.3,39.7,NA,0,0,0,NA,0,12.5
11421,32.5,219.7,30,0,NA,0,NA,0,0,15
11422,40.1,166.7,34,0,0,0,0,0,NA,NA
11423,48.2,350.1,51.4,16.1,NA,NA,NA,0,NA,19.3
11426,NA,128.9,34.7,NA,NA,0,0,0,0,NA
11427,29.7,135.7,29.7,NA,NA,0,0,0,NA,NA
11428,26.9,258.3,43.1,NA,NA,0,0,NA,0,NA
11429,21.6,201.4,61.1,NA,NA,0,0,NA,0,18
11432,54.3,312.7,67.5,19.8,NA,0,NA,NA,NA,21.4
11433,30.1,230,30.1,NA,0,0,NA,NA,0,16.4
11434,44.9,236.7,56.9,9,7.5,NA,0,NA,NA,15
11435,30.8,215.7,58.2,NA,NA,0,0,0,12,NA
11436,29.9,189.6,NA,NA,NA,0,0,NA,NA,NA
11691,65.8,471.2,74.8,29.9,9,NA,NA,NA,NA,10.5
11692,52.3,399.4,85.6,33.3,NA,0,NA,NA,0,NA
11693,55.2,260.4,0,0,NA,NA,0,NA,0,NA
11694,24.1,375.4,81.8,NA,NA,NA,NA,NA,0,NA
11697,NA,NA,NA,0,0,NA,NA,NA,0,0
